date1,inventory index,date2,price,date3,BHP_close,date4,VALE_close,RIO_Close,
2013-07-05,73.96,2013-07-05,121.80 ,2013-07-01,56.32,2013.7.1,12.63,39.900002,2013-07-05
2013-07-12,73.04,2013-07-12,125.30 ,2013-07-08,60.68,2013.7.8,13.29,42.16,2013-07-12
2013-07-19,72.03,2013-07-19,133.13 ,2013-07-15,62.599998,2013.7.15,13.82,44.349998,2013-07-19
2013-07-26,72.66,2013-07-26,131.20 ,2013-07-22,64.290001,2013.7.22,14.39,45.400002,2013-07-26
2013-08-02,72.41,2013-08-02,131.70 ,2013-07-29,63.48,2013.7.29,13.75,46.200001,2013-08-02
2013-08-09,71.03,2013-08-09,133.80 ,2013-08-05,67.68,2013.8.5,15.51,49.810001,2013-08-09
2013-08-16,71.48,2013-08-16,140.60 ,2013-08-12,67.540001,2013.8.12,15.37,48.369999,2013-08-16
2013-08-23,71.04,2013-08-23,138.90 ,2013-08-19,64.550003,2013.8.19,15.37,47.68,2013-08-23
2013-08-30,72.99,2013-08-30,139.00 ,2013-08-26,63.279999,2013.8.26,14.41,45.110001,2013-08-30
2013-09-06,73.62,2013-09-06,137.70 ,2013-09-02,64.93,2013.9.2,15.62,48.110001,2013-09-06
2013-09-13,72.55,2013-09-13,135.40 ,2013-09-09,66.580002,2013.9.9,16.040001,49.990002,2013-09-13
2013-09-20,71.89,2013-09-20,132.10 ,2013-09-16,67.370003,2013.9.16,16.18,49.360001,2013-09-20
2013-09-27,72.33,2013-09-27,133.30 ,2013-09-23,67.150002,2013.9.23,15.6,49.48,2013-09-27
2013-10-11,76.52,2013-10-11,132.40 ,2013-10-07,67.150002,2013.10.7,15.51,49.279999,2013-10-11
2013-10-18,77.37,2013-10-18,135.00 ,2013-10-14,69.599998,2013.10.14,16.110001,51.869999,2013-10-18
2013-10-25,80.36,2013-10-25,133.90 ,2013-10-21,71.93,2013.10.21,16.08,52.259998,2013-10-25
2013-11-01,79.67,2013-11-01,132.80 ,2013-10-28,70.959999,2013.10.28,16.379999,51.169998,2013-11-01
2013-11-08,82.16,2013-11-08,137.50 ,2013-11-04,71.860001,2013.11.4,15.98,53.169998,2013-11-08
2013-11-15,83.98,2013-11-15,137.60 ,2013-11-11,71.370003,2013.11.11,15.77,52.5,2013-11-15
2013-11-22,85.51,2013-11-22,136.50 ,2013-11-18,69.040001,2013.11.18,15.46,51.73,2013-11-22
2013-11-29,87.43,2013-11-29,136.00 ,2013-11-25,68.220001,2013.11.25,15.32,53.049999,2013-11-29
2013-12-06,88.66,2013-12-06,138.70 ,2013-12-02,67.529999,2013.12.2,15.25,53.84,2013-12-06
2013-12-13,87.35,2013-12-13,138.90 ,2013-12-09,63.740002,2013.12.9,14.67,51.779999,2013-12-13
2013-12-20,88.57,2013-12-20,134.70 ,2013-12-16,65.989998,2013.12.16,14.43,53.830002,2013-12-20
2013-12-27,88.62,2013-12-27,133.83 ,2013-12-23,67.410004,2013.12.23,15.23,55.630001,2013-12-27
2014-01-03,89.3,2014-01-03,135.00 ,2013-12-30,67.519997,2013.12.30,14.33,55.110001,2014-01-03
