,날짜,철광석_가격,전기동 [LME] 3개월(o)USD/ton,알루미늄 [LME] 3개월(o)USD/ton,니켈 [LME] 3개월(o)USD/ton,아연 [LME] 3개월(o)USD/ton,납 [LME] 3개월(o)USD/ton,주석 [LME] 3개월(o)USD/ton,BHP_close,RIO_close,VALE_close,PDS.원자재.지수,USD.CNY..미국.달러...중국.인민폐.,USD.BRL..미국.달러...브라질.레알.,AUD.USD..호주.달러...미국.달러.,inventory.index,WTI [CME(NYMEX)] 2018.08USD/bbl(barrel),브렌트유 [ICE] 2018.09USD/bbl(barrel),철근 [SHFE] 2018.10RMB/ton,선재 [SHFE] 2018.10RMB/ton
1,2015-01-05,71.17,6123.5,1808.1,15288,2167.6,1848,19670,46.93,45.53,8.55,98.22,6.21,2.68,0.81,98.7,48.75,51.29,2579.6,2832
2,2015-01-12,68.92,5755,1792.9,14649,2076.1,1799.1,19479,46.14,44.2,8.41,93.71,6.2,2.64,0.82,98.91,47.08,48.23,2506.8,2783.6
3,2015-01-19,67.45,5649.2,1837.4,14638,2106.6,1868.5,19397,45.5,43.08,7.85,93.25,6.22,2.6,0.81,98.22,46.52,48.63,2492,2717.8
4,2015-01-26,63.12,5452.2,1844.4,14742,2112.5,1858.3,19370,46.33,44.13,7.03,93.87,6.25,2.61,0.79,99.77,45.72,49.67,2475.8,2635
5,2015-02-02,62.47,5623,1875.3,15095,2141.4,1858.3,18946,48.29,46.24,7.35,95.68,6.25,2.74,0.78,98.48,50.65,56.24,2487,2559.4
6,2015-02-09,62.24,5658.4,1848.4,14845,2143.8,1842,18175,51.19,49.37,8.05,99.94,6.24,2.83,0.78,96.69,51.14,58.05,2488,2635.6
7,2015-02-16,63.91,5690.2,1820.3,14192,2104.2,1806.2,18095,50.48,49.94,7.83,103.17,6.26,2.84,0.78,97.49,51.79,60.87,2523.5,2805
8,2015-02-23,63.06,5779.4,1805.6,14241,2067.9,1770,18050,52.52,49.33,7.42,102.72,6.26,2.87,0.78,98.29,49.53,60.36,2490.67,2805
9,2015-03-02,61.25,5844.3,1802.6,13956,2041.6,1767.2,17930,49.35,44.23,6.42,103.33,6.27,2.98,0.78,99.38,50.4,60.26,2467,2760
10,2015-03-09,57.99,5796.3,1761.4,14099,2020.1,1809.9,17721,44.55,41.9,5.82,102.29,6.26,3.15,0.77,100.28,47.67,56.76,2481.2,2760
11,2015-03-16,56.2,5793.6,1772.8,13758,2012.1,1731,17200,48.06,43.58,6.26,99.69,6.23,3.24,0.77,99.19,44.34,54.62,2497.6,2760
12,2015-03-23,55,6123.8,1786.5,13802,2084.6,1832,17430,47.1,41.88,5.67,99.44,6.21,3.18,0.78,100.13,48.89,56.62,2510.4,2732.6
13,2015-03-30,50.16,6022.75,1779.25,12763.75,2089.13,1826.5,16763.75,45.56,41.2,5.76,100.86,6.19,3.17,0.76,97.24,48.93,55.86,2408,2586.6
14,2015-04-06,47.81,6030.75,1774.75,12656.25,2167.38,1935.25,16711.25,45.82,41.45,6.04,100.93,6.2,3.09,0.77,97.37,51.79,57.44,2303.5,2536.5
15,2015-04-13,50.13,5993.5,1801.2,12644,2214.4,2007,15837,46.44,42.02,5.87,102.63,6.21,3.06,0.77,97.58,55.12,61.42,2311.8,2474.2
16,2015-04-20,53.86,5974.3,1808.3,12688,2220.6,2041,15455,51.04,45.72,7.92,106.4,6.19,3,0.78,97.16,57.11,63.68,2314.4,2502.4
17,2015-04-27,58.07,6161,1878.4,13570,2302.1,2102.2,16056,51.92,45.87,8.07,108.56,6.21,2.97,0.79,95.07,58.28,65.71,2382,2479
18,2015-05-04,59.78,6409.75,1914.5,14211.25,2375.13,2106.5,16030,50.8,46.11,7.63,110.14,6.21,3.04,0.79,89.91,59.72,66.53,2414,2479
19,2015-05-11,62.42,6396.3,1879.6,14036,2327.8,2019,15787,51.55,46.13,7.12,110.29,6.21,3.02,0.8,86.56,60.01,66.42,2387.4,2479
20,2015-05-18,58.83,6263.3,1791.2,13174,2227.2,1953.5,15915,45.87,44.88,6.57,110.02,6.2,3.04,0.79,84.92,59.37,65.45,2340.2,2309
21,2015-05-25,62.25,6105.5,1749,12737.5,2196.38,1959.5,15526.25,44.63,43.77,6.3,107.68,6.2,3.15,0.77,83.31,58.38,63.48,2353.4,2309
22,2015-06-01,63.89,5981.8,1741.9,12846,2150.1,1929.5,15436,42.91,43.63,6.51,106.16,6.2,3.15,0.77,82.73,59.65,63.9,2357.2,2309
23,2015-06-08,64.95,5959.4,1748,13393,2146.8,1913.2,15233,43.3,44.04,6.81,105.89,6.21,3.11,0.77,80.74,60.09,64.45,2337.4,2309
24,2015-06-15,62.36,5761.5,1706.6,12798,2088,1813.4,14801,43.81,43.16,6.51,106.99,6.21,3.09,0.78,79.62,59.89,63.76,2255.8,2551.4
25,2015-06-22,61.62,5731.9,1713.4,12664,2039.5,1790.8,15042,42.69,42.84,6.23,106.15,6.21,3.1,0.77,78.71,60.2,63.55,2230.25,2612
26,2015-06-29,58.15,5766.9,1706.3,11913,2018.6,1771,14256,41.29,41.04,5.85,105.47,6.21,3.12,0.76,81.77,57.92,62.42,2143,2581.6
27,2015-07-06,49.11,5520,1683.4,11280,1995.2,1772.4,14172,39.47,39.14,5.43,102.39,6.21,3.19,0.75,82.01,52.41,57.56,2000.6,2464.6
28,2015-07-13,50.39,5561.6,1705.7,11551,2061,1840,14806,39.56,40.35,5.46,100.45,6.21,3.15,0.74,81.15,51.69,57.49,2011.2,2417
29,2015-07-20,51.88,5382.3,1660.2,11498,2012.1,1776.6,15115,36.3,37.39,5.05,98.67,6.21,3.25,0.74,81.75,49.26,55.94,2066.4,2417
30,2015-07-27,54.15,5249.3,1643.6,11075,1950.2,1713.5,15972,38.37,38.62,5.26,96.28,6.21,3.37,0.73,80.68,47.96,53.13,2087.4,2356.6
31,2015-08-03,56.03,5183,1602.3,10852,1893.4,1707.2,15626,38.64,39.8,5.28,93.42,6.21,3.49,0.74,81.56,44.92,49.45,2083.8,2350
32,2015-08-10,56.57,5153,1578.7,10680,1839.1,1728.1,15252,37.88,38.59,5.23,92.07,6.34,3.48,0.74,81.67,43.21,49.5,2069.2,2350
