주요 중국 철광석 항구재고량 주간평균 Data

날짜,주간평균,단위
2014/07/14,115.46,mmt
2014/07/21,113.45,mmt
2014/07/28,113.33,mmt
2014/08/04,111.89,mmt
2014/08/11,110.67,mmt
2014/08/18,110.80,mmt
2014/08/25,112.37,mmt
2014/09/01,112.69,mmt
2014/09/08,113.41,mmt
2014/09/15,113.70,mmt
2014/09/22,110.69,mmt
2014/10/06,108.51,mmt
2014/10/13,106.58,mmt
2014/10/20,105.81,mmt
2014/10/27,107.18,mmt
2014/11/03,106.24,mmt
2014/11/10,107.43,mmt
2014/11/17,108.05,mmt
2014/11/24,106.89,mmt
2014/12/01,108.05,mmt
2014/12/08,104.89,mmt
2014/12/15,102.77,mmt
2014/12/22,100.59,mmt
2014/12/29,98.24,mmt
2015/01/05,98.70,mmt
2015/01/12,98.91,mmt
2015/01/19,98.22,mmt
2015/01/26,99.77,mmt
2015/02/02,98.48,mmt
2015/02/09,96.69,mmt
2015/02/23,98.29,mmt
2015/03/02,99.38,mmt
2015/03/09,100.28,mmt
2015/03/16,99.19,mmt
2015/03/23,100.13,mmt
2015/03/30,97.24,mmt
2015/04/06,97.37,mmt
2015/04/13,97.58,mmt
2015/04/20,97.16,mmt
2015/04/27,95.07,mmt
2015/05/04,89.91,mmt
2015/05/11,86.56,mmt
2015/05/18,84.92,mmt
2015/05/25,83.31,mmt
2015/06/01,82.73,mmt
2015/06/08,80.74,mmt
2015/06/15,79.62,mmt
2015/06/22,78.71,mmt
2015/06/29,81.77,mmt
2015/07/06,82.01,mmt
2015/07/13,81.15,mmt
2015/07/20,81.75,mmt
2015/07/27,80.68,mmt
2015/08/03,81.56,mmt
2015/08/10,81.67,mmt
2015/08/17,81.04,mmt
2015/08/24,80.59,mmt
2015/08/31,79.94,mmt
2015/09/07,81.25,mmt
2015/09/14,82.90,mmt
2015/09/21,85.52,mmt
2015/10/05,80.93,mmt
2015/10/12,84.27,mmt
2015/10/19,83.87,mmt
2015/10/26,84.45,mmt
2015/11/02,87.11,mmt
2015/11/09,87.13,mmt
2015/11/16,86.58,mmt
2015/11/23,89.17,mmt
2015/11/30,91.49,mmt
2015/12/07,92.09,mmt
2015/12/14,94.29,mmt
2015/12/21,97.43,mmt
2015/12/28,96.08,mmt
2016/01/04,99.06,mmt
2016/01/11,100.63,mmt
2016/01/18,100.05,mmt
2016/01/25,98.41,mmt
2016/02/01,96.57,mmt
2016/02/15,98.13,mmt
2016/02/22,98.19,mmt
2016/02/29,97.86,mmt
2016/03/07,96.95,mmt
2016/03/14,97.50,mmt
2016/03/21,96.31,mmt
2016/03/28,99.43,mmt
2016/04/04,100.72,mmt
2016/04/11,99.14,mmt
2016/04/18,99.39,mmt
2016/04/25,100.08,mmt
2016/05/02,100.67,mmt
2016/05/09,99.37,mmt
2016/05/16,101.78,mmt
2016/05/23,101.86,mmt
2016/05/30,100.17,mmt
2016/06/06,100.70,mmt
2016/06/13,100.57,mmt
2016/06/20,102.68,mmt
2016/06/27,104.61,mmt
2016/07/04,106.57,mmt
2016/07/11,108.40,mmt
2016/07/18,108.84,mmt
2016/07/25,108.64,mmt
2016/08/01,108.21,mmt
2016/08/08,107.54,mmt
2016/08/15,106.41,mmt
2016/08/22,105.40,mmt
2016/08/29,104.24,mmt
2016/09/05,103.46,mmt
2016/09/12,104.01,mmt
2016/09/19,102.72,mmt
2016/09/26,106.48,mmt
2016/10/03,104.61,mmt
2016/10/10,105.68,mmt
2016/10/17,106.86,mmt
2016/10/24,108.29,mmt
2016/10/31,111.19,mmt
2016/11/07,109.09,mmt
2016/11/14,111.35,mmt
2016/11/21,110.73,mmt
2016/11/28,112.12,mmt
2016/12/05,112.43,mmt
2016/12/12,112.99,mmt
